ID|Name|TubeNeighbour|TrainNeighbour
0|LiverpoolStreetStation|1,2,3,4,6,7|2,3,5,7,14,15
1|Bank(Monument)|0,2,5,8,9,10,11,12|2,3,4,8,11,12
2|Moorgate|0,1,13,14|3,5,7,8
3|Aldgate|0,5|3,7
4|AldgateEast|0,5,15|4,5
5|TowerHill(TowerGateway)|1,3,4,12|3,4,12
6|BethnalGreen|0,16,17|2,14
7|Stratford|0,17,18,19,20,21,22,23,24|2,6,12,14,15
8|CannonStreet|1,25|3,4
9|St.Paul's|1,26|2
10|Waterloo|1,27,28,29,30,31|1,6,8,11
11|LondonBridge|1,27,32,33|6,8
12|Shadwell|1,5,15,34,35|12,14
13|OldStreet|2,36|8
14|Barbican|2,37|3,5,7
15|Whitechapel|4,12,38,39|4,5,14
16|CambridgeHeath|6,40|14
17|MileEnd|6,7,39,41|2,4,5
18|StratfordInternational|7|12
19|Leyton|7,42|2
20|Maryland|7,43|15
21|StratfordHighStreet|7,44|12
22|WestHam|7,44,45,46,47,48|4,5,6,12
23|PuddingMillLane|7,41|12
24|HackneyWick|7,49|14
25|MansionHouse|8,50|3,4
26|ChanceryLane|9,51|2
27|Southwark|10,11|6
28|LambethNorth|10,52|1
29|Kennington|52,53|8
30|Westminster|10,31,54,55|3,4,6
31|Embankment|10,30,56,74|1,3,4,8
32|Borough|11,52|8
33|Bermondsey|11,57|6
34|Wapping|12,58|14
35|Limehouse|12,59|12
36|Angel|13,60|8
37|Farringdon|14,60|3,5,7
38|ShoreditchHighStreet|15,61|14
39|StepneyGreen|15,17|4,5
40|LondonFields|16,62|14
41|BowRoad(BowChurch)|17,23,45,63|4,5,12
42|Leytonstone|19,64,65|2
43|ForestGate(WansteadPark)|20,66,67,68|14,15
44|AbbeyRoad|21,22|12
45|Bromley-by-Bow|22,41|4,5
46|CanningTown|22,47,70,71,72,73|6,12
47|StarLane|22,46|12
48|Plaistow|22,69|4,5
49|Homerton|24,62|14
50|Blackfriars|25,74|3,4
51|Holborn|26,75,76,77|2,9
52|Elephant&Castle|28,29,32|1,8
53|Oval|29,78|8
54|St.James'sPark|30,79|3,4
55|GreenPark|30,76,79,80,81,82|1,2,10
56|CharingCross|56,80,83|1,8
57|CanadaWater|33,58,84,85|6,14
58|Rotherhithe|34,57|14
59|Westferry|35,86,87|12
60|King'sCrossSt.Pancras|36,37,75,88,89,90,91|3,5,7,8,8,10
61|Hoxton|38,92|14
62|HackneyDowns(HackneyCentral)|40,49,93,94,95|14
63|DevonsRoad|41,96|12
64|Wanstead|42,65,97|2
65|Snaresbrook|42,64,98|2
66|LeytonstoneHighRoad|43,99|14
67|ManorPark|43,100|15
68|WoodgrangePark|43,101|14
69|UptonPark|48,102|4,5
70|RoyalVictoria|46,72,103|12,13
71|WestSilvertown|46,104|12
72|NorthGreenwich|46,70,85|6,13
73|EastIndia|46,105|12
74|Temple|31,50|3,4
75|RussellSquare|51,60|9
76|OxfordCircus|51,55,80,82,107,390|1,2,10
77|CoventGarden|51,83|9
78|Stockwell|53,108,109,110|8,14
79|Victoria|54,55,111,146|3,4,10
80|PiccadillyCircus|55,56,76,83|1,9
81|HydeParkCorner|55,112|9
82|BondStreet|55,76,106,113|2,6
83|LeicesterSquare|56,77,80,114|8,9
84|SurreyQuays|57,115,116,117|14
85|CanaryWharf|57,72,87,118|6,12
86|Poplar|59,87,105,119|12
87|WestIndiaQuay|59,85,86|12
88|EustonSquare|60,120|3,5,7
89|Euston|60,107,121,122,123|8,10,14
90|CaledonianRoad|60,124|9
91|Highbury&Islington|60,125,126,127|10,14
92|Haggerston|61,128|14
93|DalstonKingsland|62,125|14
94|RectoryRoad|62,129|14
95|Clapton|62,130|14
96|LangdonPark|63,119|12
97|Redbridge|64,131|2
98|SouthWoodford|65,132|2
99|LeytonMidlandRoad|66,133|14
100|Ilford|67,134|15
101|Barking|68,102,135|4,5,14
102|EastHam|69,101|4,5
103|CustomHouseforExCel|70,136|12
104|PontoonDock|71,137|12
105|Blackwall|73,86|12
106|BakerStreet|82,120,138,139,140,141,390|1,3,5,6,7
107|WarrenStreet|76,89,142|8,10
108|ClaphamHighStreet(ClaphamNorth)|78,143,144,145|8,14
109|Vauxhall|78,146|10
110|Brixton|78|10
111|SloaneSquare|79,147|3,4
112|Knightsbridge|81,147|9
113|MarbleArch|82,148|2
114|TottenhamCourtRoad|83,142|9
115|NewCross|84|14
116|NewCrossGate|84,149|14
117|QueensRoadPeckham|84,150|14
118|HeronQuays|85,151|12
119|AllSaints|86,96|12
120|GreatPortlandStreet|88,106|3,5,7
121|SouthHampstead|89,152|14
122|MorningtonCrescent|89,123|8
123|CamdenTown|89,122,153,154|8
124|HollowayRoad|90,155|9
125|Canonbury|91,93,128|14
126|CaledonianRoad&Barnsbury|91,156|14
127|FinsburyPark|91,155,157,158|9,10
128|DalstonJunction|92,125|14
129|StokeNewington|94,159|14
130|St.JamesStreet|95,133|14
131|GantsHill|97,160|2
132|Woodford|98,161,162|2
133|WalthamstowQueen'sRoad(WalthamstowCentral)|99,130,163|10,14
134|SevenKings|100,164|15
135|Upney|101,165|4
136|PrinceRegent|103,166|12
137|LondonCityAirport|104,167|12
138|Marylebone|106,141|1
139|St.John'sWood|106,168|6
140|FinchleyRoad|106,168,169,170|6,7
141|EdgwareRoad|106,138,171|1,3,4,5
142|GoodgeStreet|107,114|8
143|WandsworthRoad|108,172|14
144|ClaphamCommon|108,173|8
145|DenmarkHill|108,150|14
146|Pimlico|79,109|10
147|SouthKensington|111,112,174|3,4,9
148|LancasterGate|113,175|2
149|Brockley|116,176|14
150|PeckhamRye|117,145|14
151|SouthQuay|118,177|12
152|KilburnHighRoad|121,178|14
153|ChalkFarm|123,179|8
154|KentishTown|123,180|8
155|Arsenal|124,127|9
156|CamdenRoad|126,181|14
157|ManorHouse|127,182|9
158|SevenSister|127,159,183,184|10,14
159|StamfordHill|129,158|14
160|NewburyPark|131,185|2
161|RodingValley|132,186|2
162|BuckhurstHill|132,218|2
163|BlackhorseRoad|133,183,214|10,14
164|Goodmayes|134,188|15
165|Becontree|135,189|4
166|RoyalAlbert|136,190|12
167|KingGeorgeV|137,191|12
168|SwissCottage|139,140|6
169|WestHampstead|140,192,193,194|6,14
170|WembleyPark|140,195,197,226|6,7
171|Paddington|141,198,199,200|1,3,4,5
172|ClaphamJunction|143,201|14
173|ClaphamSouth|144,202|8
174|GloucesterRoad|147,203,204|3,4,9
175|Queensway|148,205|2
176|HonorOakPark|149,206|14
177|Crossharbour|151,207|12
178|Queen'sPark|152,208,209|1,14
179|BelsizePark|153,210|8
180|TufnellPark|154,211|8
181|KentishTownWest|156,212|14
182|TurnpikeLane|157,213|9
183|TottenhamHale|158,163|10
184|BruceGrove|158,215|14
185|Barkingside|160,216|2
186|Chigwell|161,217|2
187|ChadwellHeath|164,219|15
188|DagenhamHeathway|165,220|4
189|BecktonPark|166,221|12
190|WoolwichArsenal|167|12
191|Brondesbury|169,222|14
192|FinchleyRoad&Frogal|169,223|14
193|Kilburn|169,224|6
194|Neasden|170,225|6
195|PrestonRoad|170,227|7
196|WarwickAvenue|171,228|1
197|RoyalOak|171,229|3,5
198|Bayswater|171,205|3,4
199|ImperialWharf|172,230|4,14
200|Balham|173,231|8
201|Earl'sCourt|174,204,230,232,233|4,9
202|HighStreetKensington|174,203,205|3,4
203|NottingHillGate|175,200,204,234|2,3,4
204|ForestHill|176,235|14
205|Mudchute|177,236|12
206|KilburnPark|178,228|1
207|KensalGreen|178,237|1,14
208|Hampstead|179,238|8
209|Archway|180,239|8
210|GospelOak|181,223,240|14
211|WoodGreen|182,241|9
212|SouthTottenham|163,242|14
213|WhiteHartLane|184,243|14
214|Fairlop|185,244|2
215|GrangeHill|186,244|2
216|Loughton|162,245|2
217|Romford|188,246,247|14,15
218|DagenhamEast|189,248|4
219|Cyprus|190,249|12
220|BrondesburyPark|192,250|14
221|HampsteadHeath|193,212|14
222|WillesdenGreen|194,225|6
223|DollisHill|195,224|6
224|Kingsbury|170,251|6
225|NorthwickPark|197,252|7
226|MaidaVale|198,208|1
227|WestbournePark|199,311|3,5
228|WestBrompton|201,203,254,255|4,14
229|TootingBec|202,256|8
230|WestKensington|203,233|4
231|BaronsCourt|203,232,260|4,9
232|HollandPark|205,261|2
233|Sydenham|206,262,263|14
234|IslandGardens|207,267|12
235|WillesdenJunction|209,250,261,272,273|1,14
236|GoldersGreen|210,274|8
237|Highgate|211,279|8
238|UpperHolloway|212,286|14
239|BoundsGreen|213,287|9
240|HarringayGreenLanes|214,286|14
241|SilverStreet|215,291|14
242|Hainault|216,217|2
243|Debden|218,298|2
244|EmersonPark|219,300|14
245|GideaPark|291,303|15
246|ElmPark|220,302|4
247|GallionsReach|221,306|12
248|KensalRise|222,237|14
249|Queensbury|226,307|6
250|Harrow-on-the-Hill|227,309,310|7
251|Kensington(Olympial)|230,261|14
252|FulhamBroadway|230,312|4
253|TootingBroadway|231,257|8
254|ColliersWood|256,258|8
255|SouthWimbledon|257,259|8
256|Morden|258|8
257|Hammersmith|233,318,319,320|3,4,5,9
258|Shepherd'sBush|234,237,254,321|2,14
259|CrystalPalace|235|14
260|PengeWest|235,264|14
261|Anerley|263,265|14
262|NorwoodJunction|264,266|14
263|WestCroydon|265|14
264|CuttySarkforMaritimeGreenwich|236,268|12
265|Greenwich|267,269|12
266|DeptfordBridge|268,270|12
267|ElversonRoad|269,271|12
268|Lewisham|270|12
269|ActonCentral|237,322|14
270|Harlesden|237,326|1,14
271|BrentCross|238,275|8
272|HendonCentral|274,276|8
273|Colindale|275,277|8
274|BurntOak|276,278|8
275|Edgware|277|8
276|EastFinchley|239,280|8
277|FinchleyCentral|279,281,282|8
278|MillHillEast|280|8
279|WestFinchley|280,283|8
280|WoodsidePark|282,284|8
281|Totteridge&Whetstone|283,285|8
282|HighBarnet|284|8
283|CrouchHill|240,242|14
284|ArnosGrove|241,288|9
285|Southgate|287,289|9
286|Oakwood|288,290|9
287|Cockfosters|289|9
288|EdmontonGreen|243,292,293|14
289|BushHillPark|291,294|14
290|Southbury|291,295|14
291|EnfieldTown|292|14
292|TurkeyStreet|293,296|14
293|TheobaldsGrove|295,297|14
294|Cheshunt|296|14
295|TheydonBois|245,299|2
296|Epping|298|2
297|Upminster|246,301|4,14
298|UpminsterBridge|300,302|4
299|Hornchurch|248,301|4
300|HaroldWood|247,304|15
301|Brentwood|303,305|15
302|Shenfield|304|15
303|Beckton|249|12
304|CanonsPark|251,308|6
305|Stanmore|307|6
306|NorthHarrow|252,338|7
307|WestHarrow|252,349|7
308|LadbrokeGrove|229,350|3,5
309|ParsonsGreen|255,313|4
310|PutneyBridge|312,314|4
311|EastPutney|313,315|4
312|Southfields|314,316|4
313|WimbledonPark|315,317|4
314|Wimbledon|316|4
315|RavenscourtPark|260,351|4
316|TurnhamGreen|260,323,351,352,353|4,9
317|GoldhawkRoad|260,354|3,5
318|WhiteCity(WoodLane)|261,350,354,355|2,3,5
319|SouthActon|272,323|14
320|Gunnersbury|319,322,324|4,14
321|KewGardens|323,325|4,14
322|Richmond|324|4,14
323|StonebridgePark|273,327|1,14
324|WembleyCentral|326,328|1,14
325|NorthWembley|327,329|1,14
326|SouthKenton|328,330|1,14
327|Kenton|329,331|1,14
328|Harrow&Wealdstone|330,332|1,14
329|HeadstoneLane|331,333|14
330|HatchEnd|332,334|14
331|CarpendersPark|333,335|14
332|Bushey|334,336|14
333|WatfordHighStreet|335,337|14
334|WatfordJunction|336|14
335|Pinner|309,339|7
336|NorthwoodHills|338,340|7
337|Northwood|339,341|7
338|MoorPark|340,342,344|7
